,index,sentiment
536,50,0.9963127970695496
537,51,0.9957581162452698
538,52,0.9959521293640137
539,53,0.9956398010253906
540,54,0.996855616569519
541,55,0.9961317777633667
542,56,0.9960213303565979
543,57,0.9954615235328674
544,58,0.9947564601898193
545,59,0.9946978092193604
546,60,0.9949186444282532
547,61,0.9954217076301575
548,1,0.8923607468605042
549,2,0.9935178756713867
550,3,0.9978674650192261
551,4,0.9975175857543945
552,5,0.9998101592063904
553,6,0.9996832609176636
554,7,0.9996519088745117
555,8,0.9994410872459412
556,9,0.9995457530021667
557,10,0.9995079040527344
558,11,0.9993436932563782
559,12,0.9994014501571655
560,13,0.9994014501571655
561,14,0.9994454979896545
562,15,0.9995461106300354
563,16,0.999609649181366
564,17,0.9995218515396118
565,18,0.7704782485961914
566,19,0.8838130235671997
567,20,0.9793251156806946
568,21,0.9891874194145203
569,22,0.9907179474830627
570,23,0.990509033203125
571,24,0.9915907382965088
572,25,0.9910323023796082
573,26,0.9793154001235962
574,27,0.9832078218460083
575,28,0.9842073917388916
576,29,0.983903169631958
577,30,0.9909923076629639
578,31,0.9924100637435913
579,32,0.9950335025787354
580,33,0.9881645441055298
581,34,0.9924110174179077
582,35,0.9925899505615234
583,36,0.9929470419883728
584,37,0.9916103482246399
585,38,0.9885516166687012
586,39,0.9863792657852173
587,40,0.9895138740539551
588,41,0.9875090718269348
589,42,0.9853644967079163
590,43,0.9866554737091064
591,44,0.9856414198875427
592,45,0.9873669147491455
593,46,0.9860016107559204
594,47,0.9867619276046753
595,48,0.9898939728736877
596,49,0.9900802969932556
597,50,0.9895104169845581
598,51,0.9890925884246826
599,52,0.98813396692276
600,53,0.9872281551361084
601,54,0.9862427711486816
602,55,0.9839401245117188
603,56,0.9852230548858643
604,57,0.986447811126709
605,58,0.9803330302238464
606,59,0.9822348952293396
607,60,0.9826819896697998
608,61,0.9806168079376221
609,62,0.9816252589225769
610,63,0.9817449450492859
611,64,0.9808444976806641
612,65,0.982236921787262
613,66,0.982650101184845
614,67,0.9829283356666565
615,68,0.9826196432113647
616,69,0.9828870892524719
617,70,0.9831376075744629
618,71,0.9846943020820618
619,72,0.9841602444648743
620,73,0.9851617813110352
621,74,0.9845064282417297
622,75,0.985811710357666
623,1,0.9869447350502014
624,2,0.9995642304420471
625,3,0.9995371103286743
626,4,0.9994900226593018
627,5,0.9998108744621277
628,6,0.9995145797729492
629,7,0.999710738658905
630,8,0.9992774128913879
631,9,0.9995142221450806
632,10,0.99883633852005
633,11,0.9990249872207642
634,12,0.9990749359130859
635,13,0.999195396900177
636,14,0.9992893934249878
637,15,0.999173104763031
638,16,0.9991044402122498
639,17,0.9991814494132996
640,18,0.999382495880127
641,19,0.9993441700935364
642,20,0.9995313882827759
643,21,0.999421238899231
644,22,0.9994869232177734
645,23,0.9995562434196472
646,24,0.9995378255844116
647,25,0.9995238780975342
648,26,0.999478280544281
649,27,0.9994022846221924
650,28,0.9994083642959595
651,29,0.9994613528251648
652,30,0.999415397644043
653,31,0.9992623925209045
654,32,0.9993102550506592
655,33,0.9993711113929749
656,34,0.9993429780006409
657,35,0.9993100166320801
658,36,0.9992566704750061
659,37,0.9992055296897888
660,38,0.9991557598114014
661,39,0.9992401599884033
662,40,0.9992029070854187
663,41,0.9990479350090027
664,42,0.9989497065544128
665,43,0.9990130662918091
666,44,0.9990088939666748
667,45,0.9990085959434509
668,46,0.9988842606544495
669,47,0.9988877177238464
670,48,0.9989038705825806
671,49,0.9990056157112122
672,50,0.9989196062088013
673,51,0.9987646341323853
674,52,0.9986758828163147
675,53,0.9987574815750122
676,54,0.9987351298332214
677,55,0.9987272620201111
678,56,0.9985972046852112
679,57,0.9987550973892212
680,58,0.9987087249755859
681,59,0.9988075494766235
682,60,0.9987291693687439
683,61,0.9985492825508118
684,62,0.9984387755393982
685,63,0.9985411167144775
686,64,0.9986139535903931
687,65,0.9986360669136047
688,66,0.9984166622161865
689,67,0.9981474876403809
690,68,0.9981966614723206
691,69,0.998336911201477
692,70,0.9983505010604858
693,71,0.9981793165206909
694,1,0.012788772583007812
695,2,0.019695937633514404
696,3,0.02402395009994507
697,4,0.02127683162689209
698,5,0.020147085189819336
699,6,0.019214749336242676
700,7,0.018495142459869385
701,8,0.018578946590423584
702,9,0.019170403480529785
703,10,0.018079817295074463
704,11,0.017062604427337646
705,12,0.016489267349243164
706,13,0.016168713569641113
707,14,0.01574242115020752
708,15,0.017517566680908203
709,16,0.018077373504638672
710,17,0.017290949821472168
